:R10,18571.068,8520.586,8980.78,8510.544,44583.0,:R15,22464.562,9032.927,9018.698,8881.8,49398.0,:R20,19588.639,8765.369,9185.042,8628.928,46168.0,:R26,9701.305,3942.6824,5040.19,5025.8223,23710.0
:R10,19526.762,8969.993,9474.425,9718.811,47690.0,:R15,21082.375,8981.598,9226.455,8989.575,48280.0,:R20,16634.873,9214.987,9128.177,9136.97,44115.0,:R26,9196.875,4128.907,4863.12,4892.097,23081.0
:R10,19328.426,8803.509,8593.443,8651.639,45377.0,:R15,21759.303,8970.498,8967.683,9060.531,48758.0,:R20,17695.656,9675.936,9633.438,9356.969,46362.0,:R26,9449.177,4455.9707,5177.265,4818.587,23901.0
:R10,18710.918,7959.459,10852.524,10841.118,48364.0,:R15,20669.264,8808.39,8758.145,8658.19,46894.0,:R20,19430.29,8927.687,8724.768,9072.268,46155.0,:R26,9121.025,3967.6628,4543.8022,4634.499,22267.0
:R10,19378.414,8631.417,8608.936,8898.221,45517.0,:R15,21179.623,8853.826,8799.958,8499.584,47333.0,:R20,18710.22,6680.2417,9014.882,9374.663,43780.0,:R26,9310.677,4238.685,4893.528,4827.11,23270.0
:R10,18456.623,11004.525,11310.341,8034.4873,48806.0,:R15,19962.723,8799.511,8619.392,8615.367,45997.0,:R20,19996.918,9259.565,9382.814,9031.689,47671.0,:R26,9815.253,4619.6567,5281.8647,4830.2236,24547.0
:R10,18700.324,8127.9126,8553.398,8419.345,43801.0,:R15,21571.398,9005.333,8953.707,9265.557,48796.0,:R20,18892.059,9006.079,8399.835,8550.037,44848.0,:R26,9714.815,4247.87,4895.224,5006.094,23864.0
:R10,19575.25,9516.259,6864.614,9476.873,45433.0,:R15,20799.912,9006.417,8939.383,9064.312,47810.0,:R20,19806.31,9085.185,9119.458,9902.042,47913.0,:R26,9655.39,4180.2666,4837.254,4816.086,23489.0
:R10,19720.232,8764.62,9177.795,8591.352,46254.0,:R15,20766.947,8847.317,9000.555,8607.191,47222.0,:R20,18602.193,8119.6523,8193.133,8364.026,43279.0,:R26,9966.853,4134.9614,5010.8364,4725.3423,23838.0
:R10,19085.707,8897.152,8923.117,8969.017,45875.0,:R15,20918.957,8999.368,9013.59,9229.08,48161.0,:R20,19034.758,8602.405,8927.265,8494.572,45059.0,:R26,9348.017,4255.1113,4777.683,4750.187,23131.0
:R10,19619.275,8683.892,8484.397,8918.438,45706.0,:R15,21986.834,8753.806,8894.088,9129.278,48764.0,:R20,18235.303,8552.018,8749.384,8165.288,43702.0,:R26,9893.735,4511.8413,5172.8716,5039.554,24618.0
:R10,19435.885,9357.201,9058.522,6958.3823,44810.0,:R15,21434.832,8916.608,8949.337,9080.236,48381.0,:R20,18831.414,8724.609,8677.937,8600.053,44834.0,:R26,9533.162,4171.775,4982.8228,4677.2363,23365.0
:R10,17093.475,10121.382,9647.426,9701.735,46564.0,:R15,22081.947,9048.434,8782.0625,8891.531,48804.0,:R20,20540.447,9842.969,9841.777,9433.794,49659.0,:R26,9600.17,4217.7925,4861.932,4830.106,23510.0
:R10,20334.602,9240.079,9294.993,8904.327,47774.0,:R15,22121.824,9045.745,8998.635,9084.783,49251.0,:R20,19490.828,9069.643,8524.601,9107.91,46193.0,:R26,9130.669,3888.2783,4760.0986,4698.9624,22478.0
:R10,19846.293,9404.402,9432.059,8954.26,47637.0,:R15,20568.984,8545.248,8928.876,8896.909,46940.0,:R20,20152.39,9124.722,9460.438,9207.456,47945.0,:R26,9308.399,4181.579,4681.14,4877.8823,23049.0
:R10,18571.504,8264.13,8618.992,8377.379,43832.0,:R15,21240.863,9178.843,9065.505,9190.765,48676.0,:R20,18739.432,8704.737,8330.115,8426.728,44201.0,:R26,9464.057,4189.2856,4877.6685,4840.988,23372.0
