:G02,17357.861,5608.117,8790.802,8993.224,40750.0,:G04,16726.896,5408.2344,8292.916,8553.941,38982.0,:G06,16343.495,5456.5654,7610.8853,7810.0576,37221.0,:G07,15890.602,5996.3975,8728.141,8966.8545,39582.0,:G09,14837.548,6511.3193,9605.282,9323.865,40278.0,:G10,16815.508,5450.7495,8059.236,7890.5093,38216.0,:G16,16896.24,5256.4375,7611.7515,7907.5566,37672.0,:G17,15265.181,5631.983,8362.408,8748.435,38008.0,:G19,15884.3125,5822.479,8350.889,8721.311,38779.0,:G20,16579.729,5512.4746,7891.3706,7774.4346,37758.0,:G22,16600.375,5404.2427,8037.645,8292.738,38335.0,:G24,16013.609,5102.975,7433.452,7777.955,36328.0,:G26,17123.707,7201.3315,6801.687,6787.2925,37914.0
:G02,17396.828,5677.1074,8660.828,8537.224,40272.0,:G04,17237.1,5416.892,8188.838,8184.1675,39027.0,:G06,16622.096,5335.047,7827.3037,7779.5547,37564.0,:G07,17239.04,6408.4424,9045.336,9268.181,41961.0,:G09,16584.469,5709.845,8463.298,8768.391,39526.0,:G10,16068.42,5156.558,8303.193,8027.8315,37556.0,:G16,17168.23,5501.5376,8521.523,8221.707,39413.0,:G17,16185.138,5741.578,8783.471,8672.8125,39383.0,:G19,17242.143,5934.5176,8931.166,8875.157,40983.0,:G20,16930.54,5591.1904,7761.2944,7986.9814,38270.0,:G22,17812.928,5547.7886,8557.226,8595.048,40513.0,:G24,16603.473,5445.5693,8227.156,8246.805,38523.0,:G26,16692.615,7600.994,6825.601,6584.7793,37704.0
:G02,16971.727,5573.236,7918.4043,8072.636,38536.0,:G04,17593.08,5661.6587,8617.101,8782.164,40654.0,:G06,17640.793,5431.565,8571.092,8404.542,40048.0,:G07,16950.898,5918.5713,8856.706,8839.832,40566.0,:G09,15973.064,5779.2246,8647.318,8841.394,39241.0,:G10,17198.816,5608.2437,8345.697,8298.244,39451.0,:G16,15820.687,5108.34,7347.4795,7341.486,35618.0,:G17,17106.266,5792.803,8647.862,8823.078,40370.0,:G19,16220.537,5971.3296,8803.323,9077.803,40073.0,:G20,17498.86,5489.0195,8555.02,8183.1084,39726.0,:G22,16220.3125,5214.486,7432.105,7386.104,36253.0,:G24,15978.225,5211.804,7705.291,7478.673,36374.0,:G26,17438.236,7413.3716,6825.316,6663.0757,38340.0
:G02,17500.8,5714.6504,8147.4287,7950.115,39313.0,:G04,17671.795,5369.0654,8547.158,8330.966,39919.0,:G06,16782.113,5565.2505,8286.116,8621.512,39255.0,:G07,16478.713,5971.104,8818.829,8875.354,40144.0,:G09,15524.199,5755.59,8416.266,8483.959,38180.0,:G10,16650.314,5266.075,7740.9517,8071.6685,37729.0,:G16,16584.965,5577.7676,8077.807,8064.473,38305.0,:G17,16537.229,5629.0713,8481.321,8540.388,39188.0,:G19,14696.096,6555.2085,9327.225,9322.458,39901.0,:G20,15916.554,5290.472,7494.7764,7317.1924,36019.0,:G22,16693.533,5197.8687,7552.5317,7844.061,37288.0,:G24,17046.186,5434.7593,8315.733,8480.333,39277.0,:G26,17472.61,7475.1646,7088.6934,6919.5483,38956.0
:G02,17425.74,5771.2603,8685.563,8563.425,40446.0,:G04,16924.574,5562.7974,8121.414,8295.226,38904.0,:G06,16546.133,5407.208,7786.478,7676.1724,37416.0,:G07,15938.424,5945.154,8761.381,8646.048,39291.0,:G09,16249.578,6066.384,8757.057,8828.985,39902.0,:G10,17676.74,5824.5684,8229.417,8225.263,39956.0,:G16,17192.582,5524.73,8570.74,8424.941,39713.0,:G17,15371.086,5713.991,8713.101,8684.814,38483.0,:G19,17103.803,5812.632,8611.58,8701.993,40230.0,:G20,17025.936,5379.7563,8414.095,8638.204,39458.0,:G22,17185.807,5714.3906,8287.18,8739.621,39927.0,:G24,16638.264,5369.1226,7938.1895,7780.4272,37726.0,:G26,16189.905,7516.7593,6799.6445,7060.687,37567.0
:G02,16469.232,5516.7837,7908.0776,8168.8994,38063.0,:G04,17381.11,5609.1743,8488.12,8525.592,40004.0,:G06,16453.324,5492.6313,8671.533,8375.514,38993.0,:G07,17294.547,5733.0503,8652.643,8623.767,40304.0,:G09,17945.686,6113.4155,7083.4746,9371.414,40514.0,:G10,17305.63,5575.187,7918.848,8050.339,38850.0,:G16,17223.324,5591.4795,7942.204,7985.9927,38743.0,:G17,16675.172,6005.2563,9338.212,8838.351,40857.0,:G19,17174.252,5765.201,8761.165,8840.381,40541.0,:G20,16430.836,5598.2754,7771.734,7753.146,37554.0,:G22,16685.822,5353.8447,7838.83,7730.5034,37609.0,:G24,17670.05,5544.867,9021.348,9022.74,41259.0,:G26,15596.552,7180.613,6496.0933,6562.739,35836.0
:G02,17330.39,5567.3164,8357.347,8402.9375,39658.0,:G04,16925.082,5170.5864,7889.32,7853.996,37839.0,:G06,16837.957,5448.9106,7788.868,7849.262,37925.0,:G07,15532.961,5679.7256,8786.883,8620.443,38620.0,:G09,16859.6,6232.7305,8897.503,9202.161,41192.0,:G10,17304.604,5646.832,8396.474,8281.096,39629.0,:G16,17859.303,5585.9536,8524.049,8547.678,40517.0,:G17,17670.057,6103.6597,9336.095,9257.203,42367.0,:G19,15899.687,6274.2554,9425.277,9290.792,40890.0,:G20,17734.664,5607.6943,8757.345,8466.295,40566.0,:G22,17142.13,5942.4443,8051.9175,8549.505,39686.0,:G24,17317.145,5490.644,8330.715,8471.488,39610.0,:G26,15817.091,6948.7383,6627.111,6567.051,35960.0
:G02,16625.041,5336.13,7669.248,7619.584,37250.0,:G04,17169.143,5617.7285,8027.906,8027.2246,38842.0,:G06,16578.287,5325.548,7569.576,7614.5986,37088.0,:G07,16074.764,5937.503,8922.334,8727.3955,39662.0,:G09,16625.793,6181.183,9062.512,9173.527,41043.0,:G10,16449.338,5406.4375,7829.25,8159.9673,37845.0,:G16,16315.98,5318.2837,7727.7783,7903.9585,37266.0,:G17,16778.492,5771.92,8795.498,8510.091,39856.0,:G19,14902.63,6423.0894,9418.496,9393.776,40138.0,:G20,17176.148,5353.8003,8081.826,8092.214,38704.0,:G22,17875.273,5536.869,9125.198,8979.663,41517.0,:G24,17577.762,5596.955,8660.696,8354.593,40190.0,:G26,16628.783,7467.308,6730.3164,6830.5977,37657.0
:G02,17473.436,5758.857,8514.983,8551.723,40299.0,:G04,16863.73,5288.443,8216.514,8014.297,38383.0,:G06,17000.871,5589.026,8278.414,8235.683,39104.0,:G07,17240.574,5885.636,8707.599,8765.187,40599.0,:G09,16576.719,6107.174,9154.296,9087.818,40926.0,:G10,17292.516,5526.013,8201.02,8666.458,39686.0,:G16,16947.498,5633.2197,8249.631,8246.665,39077.0,:G17,17911.473,6034.6914,9394.217,9175.613,42516.0,:G19,16781.943,5610.7563,8423.739,8661.566,39478.0,:G20,17483.402,5840.118,8400.465,8344.021,40068.0,:G22,17166.703,5457.1553,8759.274,8597.865,39981.0,:G24,15858.857,5316.4507,7719.7207,7587.969,36483.0,:G26,17111.455,7072.1855,6736.8267,6712.531,37633.0
:G02,16627.129,5521.3193,7877.2856,8086.2715,38112.0,:G04,17527.479,5276.9043,8654.382,8510.23,39969.0,:G06,17317.135,5548.319,8337.964,8391.588,39595.0,:G07,17510.24,5934.1416,9200.544,9089.084,41734.0,:G09,17284.271,6039.3174,9305.923,9203.479,41833.0,:G10,17228.09,5476.212,8313.759,8243.937,39262.0,:G16,17308.746,5749.2837,8758.232,8640.741,40457.0,:G17,17256.709,6145.252,8995.885,8866.16,41264.0,:G19,14781.089,6551.6,9332.705,9277.601,39943.0,:G20,17007.723,5636.6626,7760.281,7840.3315,38245.0,:G22,17043.803,5262.437,8404.274,8691.478,39402.0,:G24,16085.638,5342.5317,7432.9795,7433.8457,36295.0,:G26,16912.057,7298.5015,6733.229,7023.194,37967.0
